顧客コード,サイトコード,在庫場所コード,発注番号,仕入れ先コード,明細行番号,システムsku,品番,品名,構成１ラベル,構成２ラベル,構成３ラベル,構成４ラベル,構成１名,構成２名,構成３名,構成４名,発注単価,入荷予定日,入荷予定数量,パターンコード(分類),パターンコード(パターン),取り消し区分,備考欄
110001,001,00001,000000006531,10,003,1038040BKCLHE06i,1038040BKCLHE06i,SKY-309 Pleaser USA Platform Sexy Heel Sandal 7 inch heels,BKCLHE,06i,SKY-309BKCLHE06i,,ブラック クリア ヒール,サイズ6(US),,,1700,20141214,1,00,101,0,サンダル　上ビニール　下プラスチック
110001,001,00001,000000006531,10,004,1037157BK00CL10i,1037157BK00CL10i,XTREME-840,BK00CL,10i,XTREME-840BK00CL10i,,ブラック  クリア,サイズ10(US),,,2700,20141214,1,00,101,0,サンダル　上ビニール　下プラスチック
110001,001,00001,000000006532,12,001,12bIebhBK0000OS0,12bIebhBK0000OS0,2625 Leg Avenue Costume Faux leather cat mask with corset lace up back,BK0000,OS0,2625BK0000OS0,,ブラック,ワンサイズ,,,517,20141214,1,00,101,0,マスク　合皮
110001,001,00001,000000006532,12,002,1212784BK0000ML0,1212784BK0000ML0,83122　4PC Cop costume　Halloween Leg Avenue,BK0000,ML0,83122BK0000ML0,,ブラック,M/Lサイズ,,,2800,20141214,3,00,101,0,コスチュームドレス　ナイロン
110001,001,00001,000000006532,12,003,1278596BK0000OS0,1278596BK0000OS0,83682 Leg Avenue Costume SWAT Commander Police Costume Halloween,BK0000,OS0,83682BK0000OS0,,ブラック,ワンサイズ,,,2880,20141214,1,00,101,0,コスチュームドレス　ナイロン
110001,001,00001,000000006532,12,004,1291461PKBK00S00,1291461PKBK00S00,86511 Karina Corset,PKBK00,S00,86511PKBK00S00,,ピンク ブラック,Sサイズ,,,3795,20141214,1,00,101,0,コルセット　合皮　ナイロン
110001,001,00001,000000006532,12,005,1214302BK0000OS0,1214302BK0000OS0,Rose lace thigh high,BK0000,OS0,9762BK0000OS0,,ブラック  ,ワンサイズ,,,250,20141214,6,00,101,0,ストッキング　ナイロン
110001,001,00001,000000006532,12,006,1281392BKRD00OS0,1281392BKRD00OS0,A1699 Reversible ribbon trimmed tutu,BKRD00,OS0,A1699BKRD00OS0,,ブラック レッド,ワンサイズ,,,850,20141214,1,00,101,0,ペチコート　ナイロン
110001,001,00001,000000006532,12,007,1266565BK0000OS0,1266565BK0000OS0,V1013 VINYL CAT MASK LEG AVENUE COSTUME,BK0000,OS0,V1013BK0000OS0,,ブラック,ワンサイズ,,,250,20141214,1,00,101,0,マスク　合皮
110001,001,00001,000000006533,21,001,2170703WT0000OS0,2170703WT0000OS0,4151,WT0000,OS0,4151WT0000OS0,,ホワイト,ワンサイズ,,,900,20141214,1,00,101,0,ペチコート　ナイロン
110001,001,00001,000000006533,21,002,21ZE5GLGMBK00S00,21ZE5GLGMBK00S00,Double Layered Cut Out Dress 1pc,GMBK00,S00,roma3138GMBK00S00,,ガンメタル ブラック,Sサイズ,,,2250,20141214,1,00,101,0,ランジェリードレス　ナイロン
110001,001,00001,000000006533,21,003,210IXg2WTPK00L00,210IXg2WTPK00L00,4219 2pcs classmate cutie Roma Costume,WTPK00,L00,4219romaWTPK00L00,,ホワイト ピンク,Lサイズ,,,1700,20141214,1,00,101,0,コスチュームドレス　ナイロン
110001,001,00001,000000006534,33,001,3381533OG0000OS0,3381533OG0000OS0,57341 8 inch Light Up Chemical Bracelet- Orange,OG0000,OS0,57341OG0000OS0,,オレンジ,ワンサイズ,,,60,20141214,6,00,101,0,アクセサリー　プラスチック
110001,001,00001,000000006534,33,002,3382206UE0000OS0,3382206UE0000OS0,57645 Chemical Light 8in Blue Bracelet,UE0000,OS0,57645UE0000OS0,,ブルー,ワンサイズ,,,60,20141214,6,00,101,0,アクセサリー　プラスチック
110001,001,00001,000000006534,33,003,3381532GR0000OS0,3381532GR0000OS0,57642 Chemical Light 8in Green Bracelet,GR0000,OS0,57642GR0000OS0,,グリーン,ワンサイズ,,,60,20141214,0,00,101,0,アクセサリー　プラスチック
110001,001,00001,000000006534,33,004,3381530PK0000OS0,3381530PK0000OS0,57643 Chemical Light 8in Pink Bracelet,PK0000,OS0,57643PK0000OS0,,ピンク,ワンサイズ,,,60,20141214,0,00,101,0,アクセサリー　プラスチック
110001,001,00001,000000006534,33,005,3381531YL0000OS0,3381531YL0000OS0,57644 Chemical Light 8in Yellow Bracelet,YL0000,OS0,57644YL0000OS0,,イエロー,ワンサイズ,,,60,20141214,0,00,101,0,アクセサリー　プラスチック
110001,001,00001,000000006535,20,001,2063723RD0000OS0,2063723RD0000OS0,1563 babydoll/baby doll/BABYDOLL & THONG Coquette,RD0000,OS0,1563RD0000OS0,,レッド,ワンサイズ,,,1850,20141214,1,00,101,0,ベビードール　ポリエステル
110001,001,00001,000000006536,05,001,052iueoGY0000L00,052iueoGY0000L00,25268 STRETCH MESH&ALLOVERLACE CHEMISE/BDOLL STRLACE&NET,GY0000,L00,25268GY0000L00,,グレイ  ,Lサイズ,,,1895,20141214,1,00,101,0,ベビードール　ポリエステル
110001,001,00001,000000006537,73,001,,,【血小板増多症治療薬】アナグレライド/ANAGRELIDE HCL 0.5 MG　100錠,,,CS011,,0.5MG,100錠,,,1422,20141214,2,00,101,0,
110001,001,00001,000000006537,73,002,,,【血小板増多症治療薬】アナグレライド/ANAGRELIDE HCL 1MG　100カプセル,,,CS012,,1MG,100カプセル,,,2182,20141214,5,00,101,0,
110001,001,00001,000000006538,31,001,31nVfYmBK0000OS0,31nVfYmBK0000OS0,34001 Stretch leg wrap,BK0000,OS0,34001BK0000OS0,,ブラック  ,ワンサイズ,,,450,20141214,6,00,101,0,レッグラップ　ナイロン
110001,001,00001,000000006538,31,002,3175684PKLO00OS0,3175684PKLO00OS0,0,PKLO00,OS0,35673PKLO00OS0,,ピンク ヒョウ柄,ワンサイズ,,,300,20141214,6,00,101,0,タイツ　ナイロン
110001,001,00001,000000006538,31,003,3179864RDWT00OS0,3179864RDWT00OS0,4142ml Music Legs Christmas Stocking,RDWT00,OS0,4142mlRDWT00OS0,,レッド ホワイト,ワンサイズ,,,600,20141214,6,00,101,0,ストッキング　ナイロン
